ESTADO;MUNICÍPIO (S)                                                           ;ESCALA;FINALIDADE; NºAUT/ANO;      EMPRESA;PROJETO
SP;Ribeirão Preto;1:5.000;Aerofotogrametria e Perfilamento Laser;028/2016;AEROCARTA;248/16
SP;Mogi Mirim;GSD 10 e 25 cm;Aerofotogrametria e Perfilamento a Laser;097/2016;AEROCARTA;250/16
SP;Araraquara;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;165/2016;AEROCARTA;253/2016
SP;Mogi Mirim;GSD 6 cm;Aerofotogrametria;059/2018;AEROCARTA;258/2018
SP;Mairiporã;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;157/2017;AEROCARTA;255/2017
MA;São José de Ribamar;GSD 10 cm;Aerofotogrametria;192/2017;AEROCARTA;256/2017
SP;Sorocaba;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;135/2018;AEROCARTA;262/2018
SP;Ibiúna;GSD 10 cm;Aerofotogrametria;138/2018;AEROCARTA;261/18
SP;Matão;GSD 10 cm;Aerofotogrametria;201/2018;AEROCARTA;263/2018
SP;Jundiaí;GSD 10 cm;Aerofotogrametria e perfilamento a laser;077/2019;AEROCARTA;264/2019
SP;Mairiporã;GSD 10 cm e 5 cm;Aerofotogramteria e Perfilamento a Laser;111/2019;AEROCARTA;265/2019
RS;Ivoti;GSD 10 cm e 50 cm;Aerofotogrametria  ;073/2019;AEROGEO;001/2019
RS;Santo Angelo;GSD 12 cm;Aerofotogrametria;042/2016;AEROSAT;122/2016
SE;Estancia;GSD 20 cm;Aerofotogrametria;069/2016;AEROSAT;124/2016
AL;Rio Largo, Messis, Murici, Branquinha, União Palmares, São José da Laje, Pilar, Atalaia, Marimbondo, Tanque d'Arca, Belém, Taquarana, Palmeira dos Índios, Estrela de Alagoas, Mirador do Negrão, Cacimbinhas, Dois Riachos, Santana do Ipanema, Poço das Trincheiras, Maravilha, Ouro Branco, Canapi, Mata Grande, Inhapi, Água Branca, Delmiro Gouveia;GSD 20 cm;Aerofotogrametria e Perfilamento a Laser;107/2017;AEROSAT;134/2017
PE;Gravatá, Bonito, Feira Nova ;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;106/2017;AEROSAT;133/2017
RS;Carazinho;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;158/2017;AEROSAT;142/2017
MG;Lagoa Santa;GSD 10 cm;Aerofotogrametria e Perfilamento a Laser;144/2017;AEROSAT;140/2017
MG;Porteirinha, Janaúba e Espinosa;GSD 20 e 30 cm;Aerofotogrametria e Perfilamento a Laser;046/2017;AEROSAT;131/2017
BA;Urandi, Guanambi, Caculé, Condeuba, Lenício de Almeida, Anagé, Caraíbas, Paramirim, Rio de Contas e Canudos;GSD 20 e 30 cm;Aerofotogrametria e Perfilamento a Laser;046/2017;AEROSAT;131/2017
PI;Paulistana, Jacobina do Piauí, São Francisco de Assis do Piauí, São Luís do Piauí, Bocaina;GSD 20 e 30 cm;Aerofotogrametria e Perfilamento a Laser;046/2017;AEROSAT;131/2017
RN;Açu, Itajá, São Rafael, Jucurutu, Caicó, São João do Sabugi;GSD 20 e 30 cm;Aerofotogrametria e Perfilamento a Laser;046/2017;AEROSAT;131/2017
PE;Iguaraci, Ingazeira, Ibimirim, Sertânia, Belo Jardim, São Bento da Uma, Riacho das Almas, Cumaru, Surubim e Frei Miguelin ;GSD 20 e 30 cm;Aerofotogrametria e Perfilamento a Laser;046/2017;AEROSAT;131/2017
